contract_expiration,rep_name,local_number,name,city,state,dues_paying_members
13-Feb-27,Primitivo Torres,122,American Family Field dba Miller Park (1) Concessions,Milwaukee,WI,FEE
14-Feb-28,Primitivo Torres,122,DELAWARE  SPORTS  - MILLER PARK - Vendors,Milwaukee,WI,FEE
07-Jan-28,Primitivo Torres,122,Host Intl. @ Mitchell Intl. Airport,Milwaukee,WI,33
23-Dec-26,Primitivo Torres,122,"Hyatt Regency Milwaukee, Nobel Investment Group, LLC",Milwaukee,WI,42
31-Jan-26,Primitivo Torres,229,NOVO Health Services,Madison,WI,39
26-May-28,Primitivo Torres,229,Vestis @ Madison - MC 614,Madison,WI,91
29-Jan-27,Rachelle Wilson,10,Aramark @ Ford Ohio Truck Plant Avon,Avon Lake,OH,1
14-Mar-27,Rachelle Wilson,10,Aramark @ Huntington Fields (Non-Premium),Cleveland,OH,FEE
15-Feb-28,Rachelle Wilson,10,Aramark @ Huntington Fields (Premium),Cleveland,OH,FEE
30-Jun-27,Rachelle Wilson,10,Aramark @ Rocket Mortgage Field House,Cleveland,OH,FEE
14-Oct-28,Rachelle Wilson,10,Aramark Tri-C,Cleveland,OH,3
28-Feb-28,Rachelle Wilson,10,"Cleveland Sportservice, Inc. (Delaware North at Progressive Fields)",Cleveland,OH,FEE
28-Apr-29,Rachelle Wilson,112,"DB Rediheat, Inc. dba National Bias Fabric Co.",Cleveland,OH,16
25-Apr-29,Rachelle Wilson,10,Hotel Indigo,Cleveland,OH,3
30-Jun-26,Rachelle Wilson,171,Kelley's Warehouse (Evergreen CBA),Cleveland,OH,2
30-Nov-26,Rachelle Wilson,1899,Levi Strauss Co.,Hebron,KY,245
31-Dec-27,Rachelle Wilson,10,Levy Restaurant @ Great Lakes Science Center,Cleveland,OH,9
30-Oct-28,Rachelle Wilson,10,NEO LLC (Lake County Captains),Eastlake,OH,FEE
31-Jan-27,Rachelle Wilson,10,P. J. McIntyres,Cleveland,OH,2
31-Mar-28,Rachelle Wilson,124/129,Serta Restokraft,Romulus,MI,73
30-Jun-26,Rick Burks,124/129,"Aramark Uniform, Wixom Plant - MC 574",Wixom,MI,4
31-Jan-27,Rick Burks,129,"Compass @ Detroit Edison Nuclear (Newport + Monroe, M I)",Monroe,MI,2
01-Oct-28,Rick Burks,2402,Creative Foam Corporation,Fenton,MI,90
01-Oct-28,Rick Burks,2402,Creative Foam Corporation/Composite Systems and Automotive,Fenton,MI,100
06-May-28,Rick Burks,124/129,Detroit Medical Group - VHS of Michigan,Detroit,MI,9
31-Oct-25,Rick Burks,124/129,General Linen Supply,Detroit,MI,38
31-Oct-28,Rick Burks,124/129,"Metropolitan Detroit Area Hospital Services, Inc.",Detroit,MI,98
20-Jul-26,Rick Burks,124/129,Reeds Sportwear (Evergreen),Detroit,MI,3
05-Sep-28,Rick Burks,124/129,The Great Put On,Flint,MI,3
31-Oct-27,Rick Burks,84,The Toledo Club,Toledo,OH,19
16-Feb-29,Rick Burks,124/129,Union Prescription Center,Mt. Morris,MI,7
